Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Last_Update
76,World of Warcraft,PC,Blizzard Entertainment,Blizzard Entertainment,9.2,8,12,2004,22nd Apr 18
77,"Pokemon: Let's Go, Pikachu/Eevee",NS,Nintendo,Game Freak,,,11.97,2018,31st Jan 19
78,Gran Turismo 5,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,11.95,2010,
79,Super Mario 64,N64,Nintendo,Nintendo EAD,9.7,,11.91,1996,
80,FIFA 18,PS4,EA Sports,EA Vancouver,8.3,3.4,11.8,2017,02nd Apr 18
81,The Last of Us Remastered,PS4,Sony Computer Entertainment,Naughty Dog,9.5,9.1,11.78,2014,24th Sep 18
82,Gran Turismo 4,PS2,Sony Computer Entertainment,Polyphony Digital,8.7,,11.76,2005,
83,Animal Crossing: Wild World,DS,Nintendo,Nintendo EAD,8.5,,11.75,2005,
84,Super Mario Land 2: 6 Golden Coins,GB,Nintendo,Nintendo R&D1,9,,11.18,1992,
85,Grand Theft Auto IV,X360,Rockstar Games,Rockstar North,10,,11.09,2008,
86,Super Mario 64 DS,DS,Nintendo,Nintendo EAD,8.6,,11.06,2004,
87,God of War (2018),PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,9.7,10,11,2018,03rd Dec 18
88,StarCraft,PC,Blizzard Entertainment,Blizzard Entertainment,8.7,,11,1998,23rd Nov 18
89,FIFA 17,PS4,Electronic Arts,EA Canada,8.9,4.8,10.94,2016,28th Mar 18
90,Gran Turismo,PS,Sony Computer Entertainment,Polyphony Digital,9.5,,10.85,1998,
91,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,9.2,9.2,10.8,2015,04th May 18
92,Call of Duty: Modern Warfare 2,PS3,Activision,Infinity Ward,9.5,,10.61,2009,
93,Grand Theft Auto IV,PS3,Rockstar Games,Rockstar North,10,9,10.57,2008,
94,Super Mario All-Stars,SNES,Nintendo,Nintendo EAD,,9.5,10.55,1993,
95,Call of Duty: Ghosts,X360,Activision,Infinity Ward,6.9,,10.41,2013,21st Mar 18
96,Just Dance 3,Wii,Ubisoft,Ubisoft Paris,7.5,,10.14,2011,
97,Call of Duty: Ghosts,PS3,Activision,Infinity Ward,7.5,,10.13,2013,21st Mar 18
98,Splatoon 2,NS,Nintendo,Nintendo EPD,8.2,8.5,10.13,2017,19th Nov 18
99,Super Mario Party,NS,Nintendo,"Nd Cube Co., Ltd.",7.3,7.5,10.1,2018,19th Nov 18
100,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,9.1,8,10,2017,15th Jan 18
101,RollerCoaster Tycoon 3,PC,Atari,Frontier Developments,8.3,,10,2004,
