Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Last_Update
282,Dr. Mario,NES,Nintendo,Nintendo R&D1,,,4.85,1990,
283,Crash Bandicoot N. Sane Trilogy,PS4,Activision,Vicarious Visions,8,8.5,4.83,2017,23rd Sep 18
284,Assassin's Creed,PS3,Ubisoft,Ubisoft Montreal,8.2,8.5,4.83,2007,
285,Call of Duty: Infinite Warfare,XOne,Activision,Infinity Ward,7.8,3.6,4.79,2016,24th Mar 18
286,Crash Team Racing,PS,Sony Computer Entertainment,Naughty Dog,9.2,,4.79,1999,
287,LEGO Star Wars: The Complete Saga,DS,LucasArts,Traveller's Tales,7.8,,4.77,2007,
288,The Legend of Zelda: Phantom Hourglass,DS,Nintendo,Nintendo EAD,9.1,,4.76,2007,
289,Batman: Arkham City,X360,Warner Bros. Interactive,Rocksteady Studios,9.5,,4.75,2011,
290,Driver 2,PS,Atari,Reflections Interactive,7,,4.73,2000,
291,The Simpsons: Hit & Run,PS2,VU Games,Radical Entertainment,7.7,,4.7,2003,
292,World of Warcraft: Cataclysm,PC,Blizzard Entertainment,Blizzard Entertainment,9,,4.7,2010,22nd Apr 18
293,Tony Hawk's Pro Skater 2,PS,Activision,Neversoft Entertainment,9.3,,4.68,2000,
294,Gran Turismo,PSP,Sony Computer Entertainment,Polyphony Digital,7.7,9.5,4.67,2009,
295,The Lord of the Rings: The Two Towers,PS2,Electronic Arts,Stormfront Studios,8.3,,4.67,2002,
296,Tomb Raider,PS,Eidos Interactive,Core Design Ltd.,8.9,,4.63,1996,
297,God of War,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,9.3,,4.62,2005,
298,The Legend of Zelda: A Link to the Past,SNES,Nintendo,Nintendo EAD,10,,4.61,1992,
299,Left 4 Dead,PC,Valve Corporation,Valve Software,8.6,8.5,4.6,2008,
300,Forza Motorsport 4,X360,Microsoft Studios,Turn 10 Studio,9.1,,4.6,2011,
301,Guitar Hero III: Legends of Rock,Wii,RedOctane,Vicarious Visions,8.6,,4.6,2007,
302,Nintendogs + cats,3DS,Nintendo,Nintendo EAD,7.2,,4.59,2011,
303,"Pokemon: Let's Go, Pikachu!",NS,Nintendo,Game Freak,8.3,6.1,4.57,2018,14th Nov 18
304,BioShock Infinite,PC,2K Games,Irrational Games,9.5,8.6,4.56,2013,
305,Mario & Luigi: Bowser's Inside Story,DS,Nintendo,AlphaDream Corporation,9.1,,4.56,2009,
306,FIFA 15,PS3,EA Sports,EA Canada,6.9,,4.56,2014,23rd Mar 18
307,Mario & Sonic at the Olympic Winter Games,Wii,Sega,Sega,6.8,,4.54,2009,
308,Overwatch,PS4,Blizzard Entertainment,Blizzard Entertainment,8.8,6.4,4.54,2016,24th Mar 18
309,Madden NFL 2005,PS2,EA Sports,EA Tiburon,9.5,,4.53,2004,
310,Guitar Hero III: Legends of Rock,X360,RedOctane,Neversoft,8.7,,4.53,2007,
311,Star Wars Battlefront II (2017),PS4,Electronic Arts,EA DICE,,,4.53,2017,29th Dec 17
312,Dead Island,PC,Deep Silver,Techland,7.1,6.9,4.52,2011,
313,Arma 2: Operation Arrowhead,PC,Meridian4,Bohemia Interactive,,,4.51,2010,01st Feb 19
